LIDAMSIDOB	group	priv_year
1017075727	restitued	missing
1017343551	restitued	missing
1017434026	restitued	missing
1017071632	restitued	missing
1017074569	restitued	missing
1017112215	restitued	missing
1017377227	restitued	missing
1017431264	restitued	missing
1017341451	restitued	missing
1017139784	restitued	missing
1017443335	restitued	missing
1017347549	restitued	missing
1017347069	privatized	<= 2000
1017035253	restitued	missing
1017036705	restitued	missing
1017348154	restitued	missing
1017073724	restitued	missing
1017390860	restitued	missing
1017365563	restitued	missing
1017383448	restitued	missing
1017070130	restitued	missing
1017387770	restitued	missing
1017147621	restitued	missing
1017072426	restitued	missing
1017038457	restitued	missing
1017111774	restitued	missing
1017112142	restitued	missing
1017072388	restitued	missing
1017143811	restitued	missing
1017135142	restitued	missing
1017143293	restitued	missing
1017142408	restitued	missing
1017036411	restitued	missing
1017400270	restitued	missing
1017146594	restitued	missing
1017028621	restitued	missing
1017146675	restitued	missing
1017444617	restitued	missing
1017077584	restitued	missing
1017031584	restitued	missing
1017141622	restitued	missing
1017416630	restitued	missing
1017111545	restitued	missing
1017078769	restitued	missing
1017064202	restitued	missing
1017064911	restitued	missing
1017065012	privatized	<= 2000
1017443017	restitued	missing
1017066027	restitued	missing
1017034796	restitued	missing
1017068321	restitued	missing
1017067538	restitued	missing
1017389225	restitued	missing
1017066949	restitued	missing
1017138087	privatized	<= 2000
1017036977	restitued	missing
1017068879	restitued	missing
1017146918	restitued	missing
1017424314	restitued	missing
1017071233	restitued	missing
1017435570	restitued	missing
1017371822	restitued	missing
1017071659	restitued	missing
1017417725	restitued	missing
1017064571	restitued	missing
1017104573	restitued	missing
1017418616	restitued	missing
1017063907	restitued	missing
1017445141	restitued	missing
1017389667	restitued	missing
1017147001	restitued	missing
1017445435	restitued	missing
1017068020	restitued	missing
1017064806	restitued	missing
1017435014	restitued	missing
1017066175	restitued	missing
1017034516	restitued	missing
1017111154	restitued	missing
1017029121	restitued	missing
1017416001	restitued	missing
1017367035	restitued	missing
1017068925	restitued	missing
1017072116	restitued	missing
1017070610	restitued	missing
1017031045	restitued	missing
1017417521	restitued	missing
1017079889	restitued	missing
1017031860	restitued	missing
1017079871	restitued	missing
1017067317	privatized	<= 2000
1017418888	restitued	missing
1017426406	restitued	missing
1017066345	restitued	missing
1017079803	restitued	missing
1017079854	restitued	missing
1017433666	restitued	missing
1017335931	restitued	missing
1017029687	restitued	missing
1017361533	restitued	missing
1017070041	restitued	missing
1017341516	restitued	missing
1017075808	restitued	missing
1017445052	restitued	missing
1017434867	restitued	missing
1017401586	restitued	missing
1017030561	restitued	missing
1017038333	restitued	missing
1017067104	restitued	missing
1017372501	restitued	missing
1017430471	restitued	missing
1017069719	restitued	missing
1017070059	restitued	missing
1017068763	restitued	missing
1017077835	restitued	missing
1017347638	restitued	missing
1017036675	restitued	missing
1017139865	restitued	missing
1017037213	restitued	missing
1017069905	restitued	missing
1017432228	restitued	missing
1017144079	restitued	missing
1017034567	restitued	missing
1017341532	restitued	missing
1017036853	privatized	>2005
1017037051	restitued	missing
1017064491	restitued	missing
1017401951	restitued	missing
1017138575	restitued	missing
1017076898	restitued	missing
1017074909	restitued	missing
1017071918	restitued	missing
1017033099	restitued	missing
1017142611	restitued	missing
1017070687	restitued	missing
1017116148	restitued	missing
1017389306	restitued	missing
1017059373	restitued	missing
1017140791	restitued	missing
1017341427	restitued	missing
1017423962	restitued	missing
1017141088	restitued	missing
1017071985	restitued	missing
1017143684	restitued	missing
1017066752	restitued	missing
1017064075	restitued	missing
1017435812	restitued	missing
1017065713	restitued	missing
1017183350	restitued	missing
1017079862	restitued	missing
1017346968	restitued	missing
1017443416	restitued	missing
1017341401	restitued	missing
1017071764	restitued	missing
1017028176	restitued	missing
1017031592	restitued	missing
1017036713	restitued	missing
1017055009	privatized	<= 2000
1017136891	restitued	missing
1017443408	restitued	missing
1017434557	restitued	missing
1017075221	restitued	missing
1017435154	restitued	missing
1017443629	restitued	missing
1017059390	restitued	missing
1017070156	restitued	missing
1017345139	restitued	missing
1017027889	restitued	missing
1017032408	restitued	missing
1017143510	restitued	missing
1017424501	restitued	missing
1017444692	restitued	missing
1017185751	restitued	missing
1017443076	restitued	missing
1017391017	restitued	missing
1017442843	restitued	missing
1017071993	restitued	missing
1017431370	restitued	missing
1017143501	restitued	missing
1017443254	restitued	missing
1017063621	restitued	missing
1017031878	restitued	missing
1017064377	restitued	missing
1017424284	restitued	missing
1017149356	restitued	missing
1017038660	restitued	missing
1017071616	restitued	missing
1017116679	privatized	<= 2000
1017066264	restitued	missing
1017069221	restitued	missing
1017064229	restitued	missing
1017076448	restitued	missing
1017391114	restitued	missing
1017452717	privatized	<= 2000
1017036314	restitued	missing
1017146659	restitued	missing
1017423938	restitued	missing
1017434255	restitued	missing
1017146934	restitued	missing
1017029644	restitued	missing
1017074780	restitued	missing
1017067295	restitued	missing
1017141461	restitued	missing
1017432074	restitued	missing
1017402060	restitued	missing
1017139768	restitued	missing
1017138851	restitued	missing
1017445061	restitued	missing
1017136866	restitued	missing
1017434174	restitued	missing
1017147370	restitued	missing
1017069701	restitued	missing
1017031347	restitued	missing
1017070504	restitued	missing
1017045216	restitued	missing
1017036128	restitued	missing
1017443220	restitued	missing
1017392978	restitued	missing
1017034362	restitued	missing
1017065233	restitued	missing
1017065586	restitued	missing
1017065560	restitued	missing
1017435073	restitued	missing
1017435049	restitued	missing
1017027960	restitued	missing
1017347727	restitued	missing
1017342610	restitued	missing
1017076481	restitued	missing
1017137528	restitued	missing
1017184887	restitued	missing
1017066914	restitued	missing
1017076294	restitued	missing
1017065977	restitued	missing
1017443378	restitued	missing
1017070270	restitued	missing
1017064504	restitued	missing
1017064466	restitued	missing
1017438455	restitued	missing
1017421153	restitued	missing
1017424667	restitued	missing
1017075883	restitued	missing
1017138842	restitued	missing
1017063729	restitued	missing
1017144141	restitued	missing
1017033285	restitued	missing
1017144893	restitued	missing
1017435685	restitued	missing
1017063877	restitued	missing
1017068941	restitued	missing
1017035580	restitued	missing
1017386374	restitued	missing
1017443131	restitued	missing
1017038236	restitued	missing
1017068364	restitued	missing
1017445036	privatized	>2005
1017139041	privatized	<= 2000
1017077541	restitued	missing
1017079897	restitued	missing
1017031771	restitued	missing
1017143587	privatized	<= 2000
1017140804	restitued	missing
1017072311	restitued	missing
1017371423	restitued	missing
1017072108	restitued	missing
1017143943	restitued	missing
1017069271	restitued	missing
1017038805	privatized	>2005
1017068542	restitued	missing
1017077266	restitued	missing
1017028010	restitued	missing
1017065241	restitued	missing
1017064458	restitued	missing
1017346330	restitued	missing
1017112185	restitued	missing
1017064288	restitued	missing
1017036021	restitued	missing
1017065292	restitued	missing
1017066248	restitued	missing
1017034249	restitued	missing
1017140812	restitued	missing
1017063761	restitued	missing
1017077401	restitued	missing
1017445001	restitued	missing
1017066213	restitued	missing
1017444561	restitued	missing
1017443548	restitued	missing
1017066256	restitued	missing
1017072434	restitued	missing
1017424896	restitued	missing
1017138079	privatized	2001-2005
1017071829	restitued	missing
1017076880	restitued	missing
1017146225	restitued	missing
1017063613	restitued	missing
1017146969	restitued	missing
1017433658	restitued	missing
1017354995	restitued	missing
1017111847	restitued	missing
1017029156	restitued	missing
1017341524	restitued	missing
1017373507	restitued	missing
1017029075	restitued	missing
1017135576	restitued	missing
1017389659	restitued	missing
1017028486	restitued	missing
1017065403	restitued	missing
1017075506	restitued	missing
1017071471	restitued	missing
1017354987	restitued	missing
1017353999	restitued	missing
1017184313	restitued	missing
1017109818	restitued	missing
1017034290	restitued	missing
1017143617	restitued	missing
1017387516	restitued	missing
1017066647	restitued	missing
1017072469	restitued	missing
1017443041	restitued	missing
1017064679	restitued	missing
1017073554	restitued	missing
1017032742	restitued	missing
1017064784	restitued	missing
1017335745	restitued	missing
1017400725	restitued	missing
1017428867	restitued	missing
1017038732	privatized	>2005
1017063737	restitued	missing
1017029245	restitued	missing
1017377677	restitued	missing
1017435693	restitued	missing
1017072132	restitued	missing
1017435715	restitued	missing
1017069085	restitued	missing
1017029148	restitued	missing
1017435065	restitued	missing
1017424403	privatized	<= 2000
1017389802	restitued	missing
1017444544	restitued	missing
1017071799	restitued	missing
1017375747	restitued	missing
1017060347	restitued	missing
1017144303	restitued	missing
1017036594	restitued	missing
1017032891	restitued	missing
1017037124	restitued	missing
1017056218	restitued	missing
1017390738	restitued	missing
1017146322	restitued	missing
1017030081	restitued	missing
1017028397	restitued	missing
1017417849	restitued	missing
1017444935	restitued	missing
1017056030	restitued	missing
1017063958	restitued	missing
1017424411	restitued	missing
1017070725	restitued	missing
1017428727	restitued	missing
1017068381	restitued	missing
1017074798	restitued	missing
1017060371	restitued	missing
1017034885	restitued	missing
1017334145	restitued	missing
1017072086	restitued	missing
1017072205	restitued	missing
1017070628	restitued	missing
1017035474	restitued	missing
1017434697	restitued	missing
1017072001	restitued	missing
1017420599	restitued	missing
1017143846	restitued	missing
1017031401	restitued	missing
1017066990	restitued	missing
1017150885	privatized	<= 2000
1017075760	restitued	missing
1017429057	restitued	missing
1017065951	restitued	missing
1017036004	restitued	missing
1017032840	restitued	missing
1017068259	privatized	2001-2005
1017431159	privatized	<= 2000
1017065993	restitued	missing
1017076863	restitued	missing
1017038562	restitued	missing
1017076804	restitued	missing
1017078734	restitued	missing
1017184615	privatized	<= 2000
1017146900	restitued	missing
1017028711	restitued	missing
1017432465	restitued	missing
1017038821	restitued	missing
1017066612	restitued	missing
1017443025	restitued	missing
1017114773	restitued	missing
1017074879	restitued	missing
1017146993	restitued	missing
1017063591	restitued	missing
1017066841	restitued	missing
1017034788	restitued	missing
1017036047	restitued	missing
1017079595	restitued	missing
1017422354	restitued	missing
1017366446	restitued	missing
1017347450	restitued	missing
1017114404	restitued	missing
1017046026	restitued	missing
1017072825	restitued	missing
1017452385	privatized	<= 2000
1017150028	privatized	<= 2000
1017148716	restitued	missing
1017071462	restitued	missing
1017072141	restitued	missing
1017146250	restitued	missing
1017392960	restitued	missing
1017387214	restitued	missing
1017029822	restitued	missing
1017354103	restitued	missing
1017426708	restitued	missing
1017445940	restitued	missing
1017341729	restitued	missing
1017435782	restitued	missing
1017068909	restitued	missing
1017036454	restitued	missing
1017136041	privatized	<= 2000
1017443092	restitued	missing
1017079242	restitued	missing
1017144010	restitued	missing
1017435413	restitued	missing
1017390509	restitued	missing
1017143668	privatized	<= 2000
1017139946	restitued	missing
1017385769	restitued	missing
1017064474	privatized	2001-2005
1017068852	restitued	missing
1017378916	restitued	missing
1017143111	restitued	missing
1017146373	restitued	missing
1017069255	restitued	missing
1017381887	restitued	missing
1017346305	restitued	missing
1017065543	restitued	missing
1017433127	restitued	missing
1017142033	restitued	missing
1017077061	restitued	missing
1017401110	restitued	missing
1017070148	restitued	missing
1017143528	restitued	missing
1017046247	restitued	missing
1017064245	restitued	missing
1017146667	restitued	missing
1017072400	restitued	missing
1017354944	restitued	missing
1017031185	restitued	missing
1017390517	restitued	missing
1017143463	restitued	missing
1017032939	restitued	missing
1017385327	restitued	missing
1017435634	restitued	missing
1017435588	restitued	missing
1017074470	restitued	missing
1017445371	restitued	missing
1017184739	restitued	missing
1017139431	restitued	missing
1017066779	restitued	missing
1017429898	restitued	missing
1017036110	restitued	missing
1017143714	privatized	<= 2000
1017042365	restitued	missing
1017444951	restitued	missing
1017063931	restitued	missing
1017072418	restitued	missing
1017425051	restitued	missing
1017147329	restitued	missing
1017074364	restitued	missing
1017070822	restitued	missing
1017060231	privatized	>2005
1017031282	restitued	missing
1017143251	privatized	<= 2000
1017141215	restitued	missing
1017068534	restitued	missing
1017064644	restitued	missing
1017434468	restitued	missing
1017371598	restitued	missing
1017063885	restitued	missing
1017063893	restitued	missing
1017064547	restitued	missing
1017073678	restitued	missing
1017443939	restitued	missing
1017029211	restitued	missing
1017135185	restitued	missing
1017071942	restitued	missing
1017037043	restitued	missing
1017074178	restitued	missing
1017365059	restitued	missing
1017028079	restitued	missing
1017141240	restitued	missing
1017341478	restitued	missing
1017064369	restitued	missing
1017429987	restitued	missing
1017035105	restitued	missing
1017067473	restitued	missing
1017137935	restitued	missing
1017444714	restitued	missing
1017070075	restitued	missing
1017069999	restitued	missing
1017066205	restitued	missing
1017034753	restitued	missing
1017028371	restitued	missing
1017370044	restitued	missing
1017373183	restitued	missing
1017143421	restitued	missing
1017038325	privatized	<= 2000
1017105804	restitued	missing
1017028061	restitued	missing
1017144885	restitued	missing
1017389446	restitued	missing
1017065462	restitued	missing
1017071501	restitued	missing
1017423865	restitued	missing
1017035512	restitued	missing
1017431787	restitued	missing
1017341362	restitued	missing
1017434077	restitued	missing
1017068771	restitued	missing
1017028923	restitued	missing
1017368147	restitued	missing
1017400903	restitued	missing
1017419868	restitued	missing
1017430683	restitued	missing
1017030987	restitued	missing
1017431779	restitued	missing
1017384819	restitued	missing
1017076316	restitued	missing
1017070377	restitued	missing
1017372748	restitued	missing
1017341541	restitued	missing
1017433879	restitued	missing
1017390631	restitued	missing
1017139385	restitued	missing
1017345660	restitued	missing
1017071748	restitued	missing
1017429332	restitued	missing
1017388008	restitued	missing
1017139466	restitued	missing
1017341494	restitued	missing
1017434701	restitued	missing
1017430357	restitued	missing
1017445427	restitued	missing
1017068224	restitued	missing
1017037418	restitued	missing
1017393087	restitued	missing
1017065349	restitued	missing
1017068348	restitued	missing
1017076782	restitued	missing
1017140821	restitued	missing
1017139814	restitued	missing
1017430136	restitued	missing
1017064563	restitued	missing
1017445290	restitued	missing
1017139300	restitued	missing
1017401799	restitued	missing
1017075557	restitued	missing
1017429031	restitued	missing
1017354022	restitued	missing
1017416923	restitued	missing
1017384916	restitued	missing
1017032726	restitued	missing
1017143447	restitued	missing
1017075077	restitued	missing
1017147043	restitued	missing
1017420513	restitued	missing
1017144133	restitued	missing
1017072272	restitued	missing
1017443467	restitued	missing
1017443246	restitued	missing
1017443599	restitued	missing
1017063974	restitued	missing
1017390665	restitued	missing
1017036691	restitued	missing
1017135177	restitued	missing
1017434221	restitued	missing
1017073741	restitued	missing
1017028354	restitued	missing
1017135886	restitued	missing
1017072515	restitued	missing
1017074542	restitued	missing
1017400521	restitued	missing
1017424543	restitued	missing
1017033536	restitued	missing
1017078483	restitued	missing
1017341915	restitued	missing
1017136882	restitued	missing
1017112797	restitued	missing
1017073562	restitued	missing
1017028303	restitued	missing
1017068755	restitued	missing
1017185441	restitued	missing
1017077479	restitued	missing
1017142581	restitued	missing
1017401896	restitued	missing
1017067821	restitued	missing
1017065195	restitued	missing
1017069875	restitued	missing
1017144281	restitued	missing
1017077215	restitued	missing
1017070580	restitued	missing
1017035326	restitued	missing
1017401926	restitued	missing
1017064580	restitued	missing
1017424535	restitued	missing
1017069468	restitued	missing
1017401098	restitued	missing
1017433232	restitued	missing
1017036349	restitued	missing
1017435936	restitued	missing
1017368864	restitued	missing
1017034656	restitued	missing
1017065284	restitued	missing
1017429049	restitued	missing
1017343560	restitued	missing
1017033498	restitued	missing
1017071861	restitued	missing
1017354375	restitued	missing
1017424292	restitued	missing
1017036667	restitued	missing
1017063800	restitued	missing
1017112011	restitued	missing
1017424861	restitued	missing
1017150753	restitued	missing
1017072060	restitued	missing
1017080577	restitued	missing
1017445125	restitued	missing
1017064440	restitued	missing
1017065616	restitued	missing
1017056919	privatized	<= 2000
1017116008	restitued	missing
1017033561	restitued	missing
1017070032	restitued	missing
1017056021	privatized	2001-2005
1017141614	restitued	missing
1017144249	restitued	missing
1017138923	restitued	missing
1017146624	restitued	missing
1017064385	restitued	missing
1017067112	restitued	missing
1017068241	restitued	missing
1017074313	restitued	missing
1017108358	privatized	<= 2000
1017036420	restitued	missing
1017139008	restitued	missing
1017354936	restitued	missing
1017424454	restitued	missing
1017034745	restitued	missing
1017079251	restitued	missing
1017064709	restitued	missing
1017034729	restitued	missing
1017401918	restitued	missing
1017146357	restitued	missing
1017066329	restitued	missing
1017144290	restitued	missing
1017069182	restitued	missing
1017139971	privatized	<= 2000
1017075328	restitued	missing
1017038597	restitued	missing
1017029636	restitued	missing
1017112258	restitued	missing
1017068305	restitued	missing
1017027943	restitued	missing
1017390304	restitued	missing
1017377499	restitued	missing
1017064318	restitued	missing
1017435090	restitued	missing
1017433488	restitued	missing
1017435499	restitued	missing
1017038201	restitued	missing
1017401772	restitued	missing
1017055424	privatized	<= 2000
1017036233	restitued	missing
1017138958	privatized	<= 2000
1017035423	restitued	missing
1017341419	restitued	missing
1017111553	restitued	missing
1017071675	restitued	missing
1017071446	restitued	missing
1017028737	restitued	missing
1017074321	restitued	missing
1017445273	restitued	missing
1017035032	restitued	missing
1017066981	restitued	missing
1017383995	restitued	missing
1017032262	restitued	missing
1017354685	restitued	missing
1017135355	privatized	<= 2000
1017147591	privatized	<= 2000
1017150711	restitued	missing
1017137871	restitued	missing
1017033439	restitued	missing
1017071926	restitued	missing
1017185921	restitued	missing
1017420378	restitued	missing
1017038911	restitued	missing
1017354669	restitued	missing
1017034222	restitued	missing
1017080372	restitued	missing
1017430641	restitued	missing
1017058571	restitued	missing
1017078726	restitued	missing
1017443424	restitued	missing
1017028630	restitued	missing
1017341389	restitued	missing
1017431272	restitued	missing
1017385505	restitued	missing
1017139482	restitued	missing
1017065225	restitued	missing
1017334722	restitued	missing
1017435651	restitued	missing
1017072094	restitued	missing
1017064792	restitued	missing
1017067511	restitued	missing
1017444722	privatized	<= 2000
1017185875	restitued	missing
1017385513	city-owned	missing
1017401471	privatized	2001-2005
1017033307	privatized	>2005
1017071012	privatized	2001-2005
1017070741	privatized	>2005
1017451991	privatized	>2005
1017076154	city-owned	missing
1017077240	city-owned	missing
1017139288	privatized	>2005
1017452130	city-owned	missing
1017186901	city-owned	missing
1017072191	city-owned	missing
1017079200	privatized	2001-2005
1017146195	city-owned	missing
1017430985	privatized	>2005
1017150516	city-owned	missing
1017112223	city-owned	missing
1017038627	privatized	>2005
1017031720	privatized	>2005
1017028133	city-owned	missing
1017067813	privatized	2001-2005
1017400172	city-owned	missing
1017066680	city-owned	missing
1017070296	privatized	2001-2005
1017067163	privatized	2001-2005
1017071195	city-owned	missing
1017143081	privatized	2001-2005
1017141231	city-owned	missing
1017147990	privatized	2001-2005
1017147060	city-owned	missing
1017074381	city-owned	missing
1017450412	city-owned	missing
1017077720	privatized	>2005
1017431655	privatized	2001-2005
1017184071	city-owned	missing
1017031967	city-owned	missing
1017143170	privatized	2001-2005
1017034575	city-owned	missing
1017352518	privatized	2001-2005
1017391181	privatized	>2005
1017110620	city-owned	missing
1017451443	city-owned	missing
1017075166	privatized	>2005
1017034630	city-owned	missing
1017033340	privatized	2001-2005
1017148635	privatized	>2005
1017036012	privatized	>2005
1017077151	privatized	>2005
1017431001	privatized	>2005
1017038287	privatized	>2005
1017038716	privatized	>2005
1017033081	privatized	2001-2005
1017076936	city-owned	missing
1017068968	privatized	2001-2005
1017341371	privatized	>2005
1017443653	city-owned	missing
1017391262	privatized	>2005
1017178208	privatized	>2005
1017073694	city-owned	missing
1017400148	city-owned	missing
1017072451	privatized	2001-2005
1017436240	city-owned	missing
1017072299	privatized	2001-2005
1017065926	privatized	2001-2005
1017451249	city-owned	missing
1017070717	privatized	>2005
1017030031	city-owned	missing
1017111669	city-owned	missing
1017072329	city-owned	missing
1017029342	privatized	>2005
1017065896	privatized	2001-2005
1017146608	privatized	>2005
1017110506	city-owned	missing
1017075255	city-owned	missing
1017033480	privatized	>2005
1017402132	city-owned	missing
1017352062	privatized	>2005
1017146209	privatized	2001-2005
1017066043	city-owned	missing
1017142556	privatized	>2005
1017074763	city-owned	missing
1017038210	privatized	2001-2005
1017080119	privatized	>2005
1017044180	city-owned	missing
1017110832	privatized	2001-2005
1017375682	city-owned	missing
1017031169	city-owned	missing
1017143927	city-owned	missing
1017137021	city-owned	missing
1017068411	privatized	2001-2005
1017076413	privatized	>2005
1017064938	privatized	2001-2005
1017186502	privatized	2001-2005
1017071080	privatized	2001-2005
1017352984	privatized	>2005
1017035024	privatized	2001-2005
1017352089	privatized	>2005
1017143561	privatized	2001-2005
1017134758	city-owned	missing
1017032971	city-owned	missing
1017437807	privatized	2001-2005
1017063656	privatized	>2005
1017070989	privatized	2001-2005
1017076588	city-owned	missing
1017031118	city-owned	missing
1017075867	privatized	2001-2005
1017032271	city-owned	missing
1017136076	privatized	2001-2005
1017141398	privatized	2001-2005
1017071667	privatized	>2005
1017038180	privatized	>2005
1017436118	privatized	2001-2005
1017333548	city-owned	missing
1017389292	city-owned	missing
1017035628	city-owned	missing
1017068500	privatized	2001-2005
1017451028	city-owned	missing
1017065705	city-owned	missing
1017425418	privatized	2001-2005
1017073813	city-owned	missing
1017065683	privatized	>2005
1017141649	privatized	2001-2005
1017352551	privatized	2001-2005
1017067805	privatized	2001-2005
1017150311	privatized	>2005
1017037574	privatized	<= 2000
1017140782	city-owned	missing
1017433186	privatized	2001-2005
1017144184	city-owned	missing
1017028362	privatized	>2005
1017030057	city-owned	missing
1017080062	city-owned	missing
1017383880	city-owned	missing
1017109371	city-owned	missing
1017135592	privatized	2001-2005
1017036624	city-owned	missing
1017068291	privatized	>2005
1017382671	city-owned	missing
1017450447	city-owned	missing
1017397287	city-owned	missing
1017072621	city-owned	missing
1017442860	city-owned	missing
1017431426	privatized	>2005
1017029563	privatized	2001-2005
1017428638	privatized	>2005
1017443238	city-owned	missing
1017397121	city-owned	missing
1017136769	city-owned	missing
1017146144	city-owned	missing
1017139822	privatized	2001-2005
1017438595	privatized	2001-2005
1017064741	privatized	2001-2005
1017139792	privatized	2001-2005
1017030545	city-owned	missing
1017352429	privatized	>2005
1017416621	city-owned	missing
1017444846	city-owned	missing
1017435642	privatized	2001-2005
1017450897	city-owned	missing
1017142661	privatized	2001-2005
1017037001	privatized	2001-2005
1017400288	privatized	>2005
1017143609	city-owned	missing
1017445991	privatized	>2005
1017384797	city-owned	missing
1017375437	city-owned	missing
1017135169	city-owned	missing
1017138877	privatized	>2005
1017382263	city-owned	missing
1017444897	privatized	2001-2005
1017075051	city-owned	missing
1017077509	city-owned	missing
1017443815	privatized	>2005
1017112240	city-owned	missing
1017139407	privatized	2001-2005
1017141738	privatized	2001-2005
1017069786	privatized	2001-2005
1017070571	privatized	2001-2005
1017348090	privatized	2001-2005
1017143552	city-owned	missing
1017445931	privatized	>2005
1017150699	city-owned	missing
1017075662	city-owned	missing
1017064041	privatized	2001-2005
1017064253	privatized	2001-2005
1017445214	privatized	2001-2005
1017182931	city-owned	missing
1017073848	privatized	2001-2005
1017067431	privatized	2001-2005
1017352151	privatized	2001-2005
1017071322	privatized	>2005
1017186006	privatized	>2005
1017111502	city-owned	missing
1017036551	city-owned	missing
1017183619	privatized	>2005
1017445095	privatized	>2005
1017065110	city-owned	missing
1017451231	city-owned	missing
1017067180	privatized	2001-2005
1017073791	city-owned	missing
1017069212	privatized	2001-2005
1017352101	privatized	>2005
1017070784	privatized	2001-2005
1017071225	city-owned	missing
1017400181	city-owned	missing
1017139679	city-owned	missing
1017032343	city-owned	missing
1017031304	city-owned	missing
1017443068	privatized	2001-2005
1017064423	privatized	2001-2005
1017073473	privatized	>2005
1017077363	privatized	2001-2005
1017139229	privatized	>2005
1017067236	privatized	2001-2005
1017148589	privatized	>2005
1017076791	privatized	>2005
1017030928	city-owned	missing
1017355070	privatized	2001-2005
1017436363	city-owned	missing
1017028419	city-owned	missing
1017147019	privatized	2001-2005
1017063770	privatized	2001-2005
1017451761	city-owned	missing
1017142521	city-owned	missing
1017038252	city-owned	missing
1017080305	privatized	2001-2005
1017341907	privatized	>2005
1017186553	privatized	2001-2005
1017136939	privatized	2001-2005
1017144257	city-owned	missing
1017434824	privatized	>2005
1017437238	privatized	>2005
1017067449	privatized	2001-2005
1017445915	privatized	2001-2005
1017445974	privatized	>2005
1017352267	privatized	2001-2005
1017452199	city-owned	missing
1017034711	privatized	>2005
1017065187	city-owned	missing
1017067562	privatized	>2005
1017446067	city-owned	missing
1017354961	city-owned	missing
1017135983	city-owned	missing
1017451451	city-owned	missing
1017144982	city-owned	missing
1017402019	city-owned	missing
1017384037	privatized	>2005
1017032947	city-owned	missing
1017443611	privatized	2001-2005
1017037019	privatized	>2005
1017445192	city-owned	missing
1017027951	privatized	2001-2005
1017066931	privatized	2001-2005
1017069531	city-owned	missing
1017139199	privatized	2001-2005
1017066001	privatized	>2005
1017186766	city-owned	missing
1017030537	city-owned	missing
1017034591	city-owned	missing
1017036438	city-owned	missing
1017422915	city-owned	missing
1017400130	city-owned	missing
1017420602	privatized	>2005
1017044163	city-owned	missing
1017065667	city-owned	missing
1017071101	privatized	2001-2005
1017077070	city-owned	missing
1017352399	privatized	2001-2005
1017136700	privatized	2001-2005
1017037833	city-owned	missing
1017425108	privatized	>2005
1017029831	city-owned	missing
1017036969	privatized	2001-2005
1017067058	privatized	2001-2005
1017341559	city-owned	missing
1017136271	city-owned	missing
1017143404	privatized	>2005
1017075182	privatized	2001-2005
1017186782	city-owned	missing
1017452075	city-owned	missing
1017424578	privatized	>2005
1017056005	city-owned	missing
1017352208	privatized	2001-2005
1017115702	city-owned	missing
1017067091	privatized	2001-2005
1017034931	privatized	>2005
1017060533	privatized	>2005
1017396507	city-owned	missing
1017028222	city-owned	missing
1017066531	city-owned	missing
1017436258	city-owned	missing
1017037540	privatized	2001-2005
1017401594	privatized	2001-2005
1017037027	city-owned	missing
1017146462	privatized	2001-2005
1017444706	privatized	>2005
1017150478	city-owned	missing
1017143234	privatized	>2005
1017400971	privatized	>2005
1017143901	privatized	>2005
1017442924	city-owned	missing
1017451966	privatized	2001-2005
1017112819	city-owned	missing
1017034915	privatized	2001-2005
1017141401	privatized	2001-2005
1017071161	privatized	2001-2005
1017352356	privatized	2001-2005
1017136670	city-owned	missing
1017364826	privatized	>2005
1017139342	privatized	>2005
